Name,Price ($),Cores,Score,Thread Mark,TDP,Socket,Power Efficiency (Score/W),Price Efficiency (Score/$),Average Efficiency,URL,Power Efficiency (FPS/W)
Intel 300,40.99,2,7160,3235,46,FCLGA1700,155.6522,174.6768,165.1645,https://www.ebay.com/itm/Intel-Core-i5-8500T-2-1-GHz-8GT-s-LGA-1151-Desktop-CPU-Processor-SR3XD-/204112350513,155.6522
Intel Core i3-9300 @ 3.70GHz,89.99,4,7137,2561,62,FCLGA1151-2,115.1129,79.3088,97.2108,https://www.ebay.com/itm/Intel-Core-i3-9300-SRCZU-CPU-Processor-3-70GHz-8M-Cache-LGA1151-/395310131236,115.1129
AMD Ryzen 3 3200G,29.99,4,7133,2207,65,AM4,109.7385,237.8459,173.7922,https://www.ebay.com/itm/AMD-Ryzen-3-3200G-CPU-Wraith-Cooler-/335500635495,109.7385
AMD Athlon Gold 3150G,10000000,4,7112,2265,65,AM4,109.4154,0.0007,54.7081,,109.4154
AMD Athlon Gold PRO 3150GE,10000000,4,7006,2165,35,AM4,200.1714,0.0007,100.0861,,200.1714
AMD Ryzen 3 PRO 3200G,199.99,4,6991,2190,65,AM4,107.5538,34.9567,71.2552,https://www.ebay.com/itm/Lenovo-510A-15ARR-Ryzen-R3-3200G-8GB-256GB-SSD-DVDRW-Win10-Pro-90J000BHUS-/115708446061,107.5538
AMD Ryzen 3 1300X,50.00,4,6970,2125,65,AM4,107.2308,139.4000,123.3154,https://www.ebay.com/itm/AMD-Ryzen-3-1300X-3-70GHz-Quad-Core-YD130XBBAEBOX-Processor-Wraith-Cooler-/335295663487,107.2308
Intel Core i3-8350K @ 4.00GHz,43.88,4,6859,2476,91,FCLGA1151-2,75.3736,156.3127,115.8432,https://www.ebay.com/itm/Intel-Core-i3-8350K-4-core-4-00GHz-91W-SR3N4-LGA-1151-CPU-processor-/395549493908,75.3736
AMD Ryzen 3 PRO 2200G,75.00,4,6824,2068,65,AM4,104.9846,90.9867,97.9856,https://www.ebay.com/itm/Lenovo-ThinkCentre-M725s-Ryzen-3-PRO-2200G-3-50GHz-8GB-RAM-1TB-HDD-Win-11-Pro-/156318468576,104.9846
Intel Core i5-7600K @ 3.80GHz,269.99,4,6800,2547,91,FCLGA1151,74.7253,25.1861,49.9557,https://www.ebay.com/itm/NEW-Intel-Core-i5-7600K-SR32V-3-80GHz-6MB-Quad-Core-LGA-1151-Socket-H4-CPU-/325664870295,74.7253
AMD Ryzen 3 2200G,24.99,4,6759,2050,65,AM4,103.9846,270.4682,187.2264,https://www.ebay.com/itm/AMD-Ryzen-3-PRO-2200G-Processor-3-5-GHz-4-Cores-YD220BC5M4MFB-/176487710753,103.9846
Intel Core i3-9100F @ 3.60GHz,66.86,4,6738,2499,65,FCLGA1151-2,103.6615,100.7777,102.2196,https://www.ebay.com/itm/Intel-Core-i3-9100F-CPU-3-6GHz-8-0-GT-s-Socket-LGA-1151-CPU-Processor-/266497093823,103.6615
Intel Pentium Gold G7400,115.00,2,6726,2996,46,"LGA1700,BGA1700",146.2174,58.4870,102.3522,https://www.ebay.com/itm/Intel-Pentium-Gold-G7400-3-7GHz-Socket-LGA-1700-Boxed-Desktop-CPU-Processor-/126535502848,146.2174
