Module,Score,Price ($),Price Efficiency (Score/$),URL
Kingston 9965800-015.A00G 16GB,29012,,,
Patriot Memory (PDP Systems) 6400 C32 Series 16GB,28976,,,
Corsair CM5S8G1M4800A40S2 8GB,28969,,,
Crucial Technology CT32G52C42U5.M16G1 32GB,28831,,,
Corsair CMH96GX5M2B6400C32 48GB,28806,,,
Patriot Memory (PDP Systems) PSD516G560081 16GB,28758,,,
A-DATA Technology AX5U6400C3216G-DTLABRBK 16GB,28709,,,
Corsair CMH64GX5M2N6000C30 32GB,28703,,,
Team Group Inc. UD5-6000 16GB,28637,,,
Corsair CMH32GX5M2B6000C40 16GB,28583,,,
Patriot Memory (PDP Systems) 6200 C40 Series 16GB,28562,,,
Kingston KF560C32-32 32GB,28552,,,
Corsair CMP32GX5M2B6400C32 16GB,28511,,,
G Skill Intl F5-5600J3636D32G 32GB,28510,,,
Kingston KF560C32-16 16GB,28498,,,
Kingston 9905789-040.A00G 32GB,28423,,,
Patriot Memory (PDP Systems) 7000 Series 16GB,28415,,,
Corsair CMK32GX5M2X6400C38 16GB,28377,,,
A-DATA Technology AX5U5600C3616G-BB20 16GB,28342,,,
Team Group Inc. UD5-6400 16GB,28341,,,
Patriot Memory (PDP Systems) 6800 C34 Series 16GB,28324,,,
"PNY Technologies, Inc. 16GP1X1660JJJ77-13-K3-RGB 16GB",28300,,,
Corsair CMK5X16G1E60Z36A2 16GB,28255,,,
G Skill Intl F5-5600J2834F32G 32GB,28219,,,
A-DATA Technology AX5U5200C3816G-BLAWH 16GB,28219,,,
A-DATA Technology AX5U6000C4016G-DCLABK 16GB,28216,,,
Corsair CMK32GX5M2B6200C36 16GB,28206,,,
A-DATA Technology AX5U6000C4016G-BLARBK 16GB,28132,,,
Corsair CMK32GX5M2B6000C30 16GB,28123,,,
Corsair CMT32GX5M2B6000C30 16GB,28118,,,
Corsair CMP32GX5M2X7200C34 16GB,28106,,,
A-DATA Technology AX5U6000C3032G-BLABRBK 32GB,28084,,,
Corsair CMK32GX5M2X6200C32 16GB,28078,,,
Patriot Memory (PDP Systems) 7000 C32 Series 16GB,28003,,,
A-DATA Technology AD5S560016G-B 16GB,27996,,,
Kingston KF560C40-8 8GB,27984,,,
G Skill Intl F5-6400J3239F48G 40GB,27916,,,
Kingston KF556C36-32 32GB,27885,,,
A-DATA Technology AX5U6400C3216G-DCLARWH 16GB,27844,,,
Kingston KF560C30-8 8GB,27820,,,
G Skill Intl F5-8000J3848H16G 16GB,27800,,,
Corsair CMK5X16G1B56C36A2 16GB,27767,,,
G Skill Intl F5-5600J3036D32G 32GB,27751,,,
Corsair CMH5X32G2B56Z40A2 32GB,27726,,,
Kingston KF548C38-32 32GB,27706,,,
G Skill Intl F5-6800J3445G32G 32GB,27683,,,
Team Group Inc. UD5-4800 8GB,27640,,,
Corsair CMT64GX5M2B6000C40 32GB,27588,,,
Corsair CMH32GX5M2B6800C40 16GB,27583,,,
Team Group Inc. UD5-8000 16GB,27570,,,
A-DATA Technology AX5U5200C388G-B 8GB,27562,,,
Crucial Technology CT8G56C46S5.M4G1 8GB,27554,,,
Corsair CMK64GX5M2B6000C40 32GB,27551,,,
Corsair CMK5X32G2B56C36A2 32GB,27490,,,
Corsair CMH64GX5M2B5200C40 32GB,27483,,,
Essencore Limited KD5AGUA80-62E400S 16GB,27472,,,
G Skill Intl F5-8000J4048F24G 24GB,27457,,,
